                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1932,                 4.2783,                   1.09,                 0.0049,                0.47769,                0.06476,                0.04319,                0.93286,                 4.1814,                0.89018,               8.75e-05,               8.75e-05,               8.75e-05
                      1,                 1.0739,                 3.7611,                 1.0144,                0.00678,                0.57228,                0.09692,                0.06471,                0.85634,                 4.0496,                0.86804,             0.00017228,             0.00017228,             0.00017228
                      2,                 1.0406,                 2.8535,                0.99495,                0.96964,                0.04811,                0.23391,                0.17444,                  0.916,                  3.444,                0.89061,             0.00024778,             0.00024778,             0.00024778
                      3,                 1.0544,                 2.1781,                0.97397,                0.89025,                0.16373,                0.38152,                0.27804,                 0.9153,                 3.0693,                0.89776,             0.00031399,             0.00031399,             0.00031399
                      4,                 1.0464,                 1.8642,                0.97471,                0.82507,                0.26459,                0.49339,                0.34964,                0.95918,                 2.6959,                0.92379,             0.00037093,             0.00037093,             0.00037093
                      5,                 1.0656,                 1.5557,                0.99993,                0.69218,                0.33689,                0.51475,                0.36657,                0.88231,                 2.3491,                0.91046,             0.00041858,             0.00041858,             0.00041858
                      6,                0.93301,                  1.384,                 0.9692,                0.73701,                0.49325,                0.59002,                0.43181,                0.88134,                 2.0067,                 0.9243,             0.00043937,             0.00043937,             0.00043937
                      7,                0.96973,                 1.3395,                 1.0001,                0.76611,                0.54739,                0.61749,                0.44647,                0.92574,                   1.68,                0.93557,             0.00043937,             0.00043937,             0.00043937
                      8,                0.95464,                 1.2579,                0.98429,                0.67882,                0.60403,                0.66917,                0.49305,                0.89322,                 1.5024,                0.92733,             0.00040844,             0.00040844,             0.00040844
                      9,                0.95292,                 1.3077,                 1.0011,                0.69667,                 0.6289,                 0.7004,                0.53185,                0.94426,                 1.3925,                0.94742,              0.0003775,              0.0003775,              0.0003775
                     10,                0.89151,                 1.2201,                0.94647,                0.76937,                0.58018,                0.69272,                0.51934,                0.95196,                 1.7023,                0.95679,             0.00034656,             0.00034656,             0.00034656
                     11,                0.87691,                 1.2053,                0.93861,                 0.6179,                0.70125,                  0.716,                0.54453,                0.90002,                 1.3095,                0.93571,             0.00031562,             0.00031562,             0.00031562
                     12,                0.84791,                 1.0514,                0.93532,                0.66931,                0.68481,                0.75814,                0.58832,                0.83383,                 1.1325,                0.90845,             0.00028469,             0.00028469,             0.00028469
                     13,                0.81173,                 1.1103,                0.92326,                0.72158,                0.68882,                0.75946,                0.57926,                0.82995,                 1.1423,                0.90474,             0.00025375,             0.00025375,             0.00025375
                     14,                0.82344,                 1.0426,                0.93203,                0.75406,                0.73374,                0.78577,                0.60759,                0.78755,                 1.0577,                0.89099,             0.00022281,             0.00022281,             0.00022281
                     15,                0.80139,                0.96242,                0.92508,                 0.7702,                0.74096,                0.80265,                  0.628,                0.76039,                 1.0201,                0.87734,             0.00019188,             0.00019188,             0.00019188
                     16,                0.80344,                0.96801,                0.91985,                0.82271,                0.73349,                0.79836,                0.62514,                0.76089,                 1.0102,                0.88086,             0.00016094,             0.00016094,             0.00016094
                     17,                0.78253,                0.91954,                0.91057,                0.81912,                0.74803,                0.81244,                0.63758,                 0.7436,                0.96684,                0.87628,                0.00013,                0.00013,                0.00013
                     18,                0.78793,                0.91476,                0.92019,                0.80872,                0.74171,                0.82245,                0.64199,                0.72985,                 0.9418,                0.87101,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     19,                0.75586,                0.90794,                0.90587,                0.82701,                0.73746,                0.82524,                0.64716,                0.73904,                0.92788,                0.87119,             6.8125e-05,             6.8125e-05,             6.8125e-05
