                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.1614,                 1.3707,                 1.0465,                0.80035,                0.48369,                0.53043,                0.32833,                 1.4525,                 1.5563,                  1.123,               0.000335,               0.000335,               0.000335
                     12,                 1.1607,                 1.3332,                 1.0423,                0.67315,                0.55963,                0.53723,                0.33906,                 1.4016,                   1.49,                 1.0812,              0.0003185,              0.0003185,              0.0003185
                     13,                 1.1479,                 1.2785,                 1.0425,                 0.7535,                0.48407,                0.53457,                 0.3358,                 1.4326,                 1.4906,                 1.0843,               0.000302,               0.000302,               0.000302
                     14,                 1.1272,                 1.2498,                 1.0351,                0.82885,                0.45667,                0.55265,                0.34922,                 1.4489,                 1.4971,                 1.1207,              0.0002855,              0.0002855,              0.0002855
                     15,                  1.164,                  1.272,                 1.0329,                0.74711,                 0.5097,                0.56824,                0.35831,                 1.3998,                 1.4116,                 1.0921,               0.000269,               0.000269,               0.000269
                     16,                 1.1156,                 1.2228,                  1.024,                 0.7712,                0.51544,                0.58763,                0.36357,                 1.3753,                 1.3869,                 1.0856,              0.0002525,              0.0002525,              0.0002525
                     17,                 1.0932,                 1.1293,                 1.0216,                 0.8281,                0.53504,                0.59571,                0.37417,                 1.4046,                 1.3642,                 1.0901,               0.000236,               0.000236,               0.000236
                     18,                 1.0842,                 1.1808,                 1.0256,                0.70855,                0.58279,                0.59911,                0.36864,                  1.377,                 1.3395,                 1.0933,              0.0002195,              0.0002195,              0.0002195
                     19,                 1.1008,                  1.135,                 1.0346,                 0.7835,                0.57603,                0.61035,                0.39207,                  1.363,                 1.2812,                 1.0811,               0.000203,               0.000203,               0.000203
                     20,                 1.0776,                 1.2103,                 1.0142,                0.67002,                0.58447,                0.58518,                0.38063,                 1.3509,                 1.3806,                 1.0757,              0.0001865,              0.0001865,              0.0001865
                     21,                 1.0773,                 1.1774,                 1.0177,                 0.7224,                0.60661,                0.58941,                0.37199,                 1.4026,                 1.3936,                 1.1026,                0.00017,                0.00017,                0.00017
                     22,                 1.0592,                 1.1221,                 1.0195,                0.68302,                0.61363,                0.59994,                0.38917,                 1.3611,                 1.3125,                 1.0868,              0.0001535,              0.0001535,              0.0001535
                     23,                 1.0199,                  1.057,                0.99422,                0.77765,                0.62348,                0.61579,                0.39258,                 1.3611,                 1.2829,                 1.0905,               0.000137,               0.000137,               0.000137
                     24,                 1.0345,                 1.0826,                 1.0034,                0.70367,                0.61481,                0.62505,                0.39464,                 1.3878,                 1.2532,                 1.0963,              0.0001205,              0.0001205,              0.0001205
                     25,                 1.0259,                 1.0781,                0.99731,                0.73889,                0.59197,                0.62409,                0.39316,                 1.3997,                 1.2487,                 1.0979,               0.000104,               0.000104,               0.000104
                     26,                0.99127,                 1.0426,                0.97626,                0.81345,                0.55795,                0.62062,                0.39822,                 1.3818,                 1.2313,                 1.0877,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.99824,                 1.0377,                0.98596,                0.82732,                 0.5426,                0.62472,                0.40403,                 1.3557,                 1.2173,                 1.0781,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                 1.0036,                 1.0154,                0.99588,                0.83815,                0.54202,                0.62057,                0.40293,                 1.3464,                  1.221,                 1.0746,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                0.99755,                0.99453,                0.97966,                0.79273,                0.56742,                0.62393,                0.40227,                 1.3472,                 1.2292,                 1.0737,                3.8e-05,                3.8e-05,                3.8e-05
