                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3889,                 4.4991,                 1.1602,                 0.0625,                 0.0125,                 0.0375,                0.02198,                 1.4026,                 4.4495,                 1.0092,                  9e-05,                  9e-05,                  9e-05
                      1,                 1.3425,                 3.9682,                 1.1005,                0.02615,                0.21144,                 0.0856,                 0.0505,                 1.4415,                 4.2274,                0.99818,              0.0001789,              0.0001789,              0.0001789
                      2,                 1.3157,                 3.0345,                 1.0794,                0.97255,                0.08326,                0.24691,                 0.1481,                 1.4623,                 3.5192,                 1.0301,             0.00026152,             0.00026152,             0.00026152
                      3,                 1.3461,                 2.3617,                 1.0938,                0.69671,                 0.2258,                 0.3127,                0.19441,                 1.5188,                 2.8535,                 1.0799,             0.00033788,             0.00033788,             0.00033788
                      4,                 1.3449,                 2.0762,                  1.092,                0.67661,                0.31266,                0.38178,                0.23234,                  1.495,                 2.6051,                 1.0929,             0.00040796,             0.00040796,             0.00040796
                      5,                 1.3145,                 1.9297,                 1.0959,                0.68932,                0.38694,                0.41864,                0.24777,                 1.5199,                 2.2422,                 1.1417,              0.0004175,              0.0004175,              0.0004175
                      6,                 1.3404,                 1.7928,                 1.1386,                0.66945,                0.44903,                 0.4623,                0.27338,                 1.4902,                  1.877,                 1.1416,              0.0004175,              0.0004175,              0.0004175
                      7,                 1.2703,                 1.6911,                 1.0855,                0.63493,                 0.4568,                0.48812,                0.29286,                  1.527,                 1.7636,                 1.1289,               0.000401,               0.000401,               0.000401
                      8,                 1.2334,                 1.5635,                 1.0798,                0.78306,                0.45048,                0.48801,                0.29623,                 1.4876,                 1.6766,                 1.1051,              0.0003845,              0.0003845,              0.0003845
                      9,                 1.2533,                  1.556,                 1.0731,                 0.6156,                0.52498,                 0.4838,                0.28782,                 1.4894,                 1.6644,                  1.093,               0.000368,               0.000368,               0.000368
                     10,                 1.1954,                 1.4407,                 1.0521,                0.68692,                0.49073,                0.51927,                0.31091,                 1.4251,                 1.5769,                 1.1174,              0.0003515,              0.0003515,              0.0003515
