                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4743,                 3.9666,                 1.2368,                0.70281,                0.21715,                0.25859,                0.14887,                  1.436,                 3.1991,                 1.0716,                  9e-05,                  9e-05,                  9e-05
                      1,                  1.319,                 2.0682,                 1.1463,                 0.6788,                0.41738,                0.46106,                0.27978,                 1.3917,                 1.8919,                  1.082,              0.0001789,              0.0001789,              0.0001789
                      2,                 1.1612,                 1.5063,                 1.0649,                0.74915,                0.51305,                0.51886,                0.31114,                 1.3937,                 1.4784,                 1.0837,             0.00026152,             0.00026152,             0.00026152
                      3,                 1.1786,                  1.304,                 1.0627,                0.73784,                0.53982,                0.56263,                0.34727,                 1.4681,                 1.5036,                 1.1281,             0.00033788,             0.00033788,             0.00033788
                      4,                 1.1827,                 1.2317,                 1.0737,                0.78715,                0.52498,                0.62425,                0.37413,                 1.4212,                 1.4211,                 1.1184,             0.00040796,             0.00040796,             0.00040796
                      5,                 1.1725,                 1.2506,                 1.0611,                0.75869,                0.55068,                0.61451,                0.36376,                 1.4615,                 1.3635,                 1.1603,              0.0004175,              0.0004175,              0.0004175
                      6,                  1.257,                 1.1553,                 1.1187,                0.75694,                0.61966,                0.66855,                0.40412,                 1.4191,                 1.2412,                 1.1157,              0.0004175,              0.0004175,              0.0004175
                      7,                   1.17,                 1.0799,                 1.0597,                0.77297,                0.59424,                0.67884,                 0.4151,                 1.4184,                 1.1577,                 1.1351,               0.000401,               0.000401,               0.000401
                      8,                 1.1162,                 1.0046,                 1.0527,                0.77475,                0.61058,                 0.6609,                0.39512,                 1.3611,                 1.1515,                 1.1202,              0.0003845,              0.0003845,              0.0003845
                      9,                 1.1195,                 1.0054,                  1.061,                0.73626,                 0.6327,                0.66179,                 0.4009,                 1.3992,                 1.1111,                 1.1395,               0.000368,               0.000368,               0.000368
                     10,                 1.0699,                0.91854,                 1.0352,                0.83047,                0.58695,                0.70184,                0.43464,                  1.381,                 1.0595,                  1.134,              0.0003515,              0.0003515,              0.0003515
                     11,                 1.0627,                0.87393,                 1.0224,                0.68124,                 0.6646,                0.69822,                0.45576,                 1.4268,                 1.0476,                 1.1322,               0.000335,               0.000335,               0.000335
                     12,                 1.0629,                0.82242,                 1.0289,                0.71583,                0.66209,                0.72787,                0.45204,                 1.4094,                 1.0043,                 1.1536,              0.0003185,              0.0003185,              0.0003185
                     13,                 1.0461,                0.79959,                 1.0313,                0.77152,                 0.6538,                0.71955,                0.45861,                 1.4066,                 1.0199,                 1.1235,               0.000302,               0.000302,               0.000302
                     14,                 1.0169,                 0.8032,                 1.0251,                0.73914,                0.71451,                0.72008,                 0.4394,                 1.3986,                  1.024,                 1.1193,              0.0002855,              0.0002855,              0.0002855
                     15,                 1.0534,                0.79735,                 1.0162,                0.84005,                0.66737,                0.75898,                0.48026,                 1.3727,                0.97127,                 1.1023,               0.000269,               0.000269,               0.000269
                     16,                  1.011,                0.77039,                 1.0076,                0.78266,                0.68418,                0.77723,                0.47238,                 1.3912,                0.94676,                 1.1105,              0.0002525,              0.0002525,              0.0002525
                     17,                0.99789,                0.75031,                  1.011,                0.81293,                 0.7182,                0.77257,                 0.4828,                 1.3939,                0.90894,                 1.1051,               0.000236,               0.000236,               0.000236
                     18,                0.98794,                0.75439,                 1.0035,                0.69176,                0.73512,                0.76008,                0.47749,                 1.3933,                0.95716,                 1.1083,              0.0002195,              0.0002195,              0.0002195
                     19,                 1.0275,                0.75904,                 1.0228,                0.73111,                0.75176,                0.77866,                0.49463,                 1.3632,                0.92106,                 1.0935,               0.000203,               0.000203,               0.000203
                     20,                0.97498,                0.68227,                 0.9933,                0.74027,                0.73326,                0.76574,                0.47366,                 1.3505,                0.90512,                 1.1031,              0.0001865,              0.0001865,              0.0001865
                     21,                0.97312,                0.68308,                 1.0075,                0.71684,                0.74944,                0.76079,                 0.4748,                 1.3725,                0.88602,                 1.1073,                0.00017,                0.00017,                0.00017
                     22,                0.95312,                0.64958,                0.99569,                0.74794,                0.74694,                0.78639,                 0.4873,                 1.3488,                0.88525,                 1.0974,              0.0001535,              0.0001535,              0.0001535
                     23,                0.92453,                0.62171,                0.97486,                0.79117,                0.74283,                 0.7817,                0.50383,                 1.3492,                0.86964,                 1.0992,               0.000137,               0.000137,               0.000137
                     24,                0.92263,                0.61719,                0.97725,                0.73933,                0.75727,                0.75713,                0.48458,                 1.3626,                0.88544,                  1.108,              0.0001205,              0.0001205,              0.0001205
                     25,                0.92582,                0.62532,                0.98651,                0.73283,                0.77044,                 0.7453,                0.46609,                 1.3572,                0.87257,                 1.1129,               0.000104,               0.000104,               0.000104
                     26,                0.87294,                0.59295,                0.96067,                0.74404,                0.72583,                 0.7372,                0.47416,                  1.367,                0.88602,                 1.1076,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.88756,                0.57781,                0.95969,                0.75975,                0.72807,                0.73532,                0.47218,                 1.3689,                0.88201,                 1.1127,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                0.87355,                0.55996,                0.96443,                0.74358,                0.72742,                0.73621,                 0.4689,                 1.3763,                0.87448,                  1.123,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                0.87972,                0.56746,                0.95593,                0.73032,                0.72781,                0.73247,                0.46499,                 1.3835,                0.87961,                 1.1207,                3.8e-05,                3.8e-05,                3.8e-05
